"point_id","elevation"
57,206.871002197266
1,220.529998779297
139,282.016021728516
140,183.000015258789
218,297.192016601562
58,279.019989013672
88,283.148010253906
89,322.06201171875
90,381.47998046875
219,155.646011352539
91,358.433013916016
141,154.411010742188
92,312.652008056641
2,314.759979248047
3,372.609985351562
142,179.217010498047
220,203.822006225586
143,222.622009277344
144,218.115005493164
93,367.526031494141
94,345.419982910156
95,281.598022460938
59,278.489990234375
96,337.712005615234
145,164.129013061523
60,400.600006103516
146,207.839004516602
147,269.037017822266
148,209.599014282227
221,238.370010375977
149,214.755004882812
150,225.067016601562
151,180.540008544922
152,174.118011474609
153,225.228012084961
154,173.502014160156
155,247.025009155273
222,197.038009643555
156,220.93000793457
97,426.929992675781
223,198.823013305664
157,240.905014038086
98,343.052001953125
99,365.839996337891
100,323.655029296875
224,216.112014770508
225,285.216003417969
226,193.219009399414
4,411.929992675781
101,287.328002929688
61,353.869995117188
158,140.040008544922
159,178.814010620117
138,181.559005737305
227,158.799011230469
228,306.457000732422
5,369.489990234375
229,265
230,303.10302734375
6,378.449981689453
62,278.209991455078
231,323.032012939453
160,136.777008056641
161,255.807006835938
162,162.20100402832
163,171.935012817383
102,387.119995117188
164,210.278015136719
165,192.045013427734
166,231.449005126953
167,204.580017089844
168,110.838005065918
169,207.586013793945
170,169.133010864258
171,227.741012573242
232,206.40901184082
103,299.696014404297
172,172.68701171875
104,352.75
105,345.800018310547
173,154.202011108398
233,298.154022216797
174,225.241012573242
175,231.597015380859
176,192.195007324219
177,282.016021728516
178,204.580017089844
179,240.995010375977
106,322.06201171875
63,353.880004882812
234,285.004028320312
180,171.980010986328
107,358.5830078125
7,219.919998168945
181,205.024017333984
108,367.526031494141
182,214.626007080078
183,224.890014648438
184,221.240005493164
185,223.009017944336
235,238.420013427734
186,136.68000793457
33,335.259979248047
109,387.160003662109
187,227.716003417969
64,279.109985351562
188,210.613006591797
34,196.470001220703
110,299.917999267578
189,173.298004150391
35,222.789993286133
36,192.940002441406
236,206.40901184082
237,194.50700378418
37,225.979995727539
38,203.039993286133
8,291.690002441406
39,216.5
40,227.959991455078
111,312.207000732422
9,378.470001220703
10,372.569976806641
190,180.540008544922
41,216.139999389648
11,412.029998779297
65,283.443023681641
42,193.849990844727
43,228.419998168945
191,247.025009155273
192,139.807006835938
44,236.06999206543
45,205.139999389648
193,207.839004516602
66,354.355010986328
46,197.65998840332
194,207.586013793945
195,179.066009521484
47,211.399993896484
196,210.473007202148
197,209.599014282227
48,189.459991455078
49,235.299987792969
50,194.839996337891
198,192.103012084961
51,200.169998168945
67,341.011016845703
52,233.509994506836
112,352.850006103516
113,323.481018066406
199,218.163009643555
200,162.13200378418
114,352.75
201,174.098007202148
202,227.741012573242
203,169.177001953125
68,278.070007324219
204,218.115005493164
205,225.05500793457
206,222.622009277344
115,365.919982910156
238,303.044006347656
69,278.619995117188
207,179.048004150391
12,369.769989013672
208,179.217010498047
116,381.589996337891
239,158.80500793457
209,220.900009155273
70,386.459991455078
13,382.449981689453
14,372.609985351562
15,378.449981689453
210,255.807006835938
117,281.015014648438
71,353.869995117188
16,411.929992675781
72,358.009979248047
211,225.228012084961
17,314.759979248047
18,353.119995117188
73,386.669982910156
212,231.449005126953
118,287.328002929688
119,365.839996337891
19,360.639984130859
120,294.705017089844
74,391.190002441406
121,283.148010253906
122,358.257019042969
123,299.696014404297
124,337.77001953125
213,214.339004516602
20,399.600006103516
125,381.699981689453
21,231.299987792969
22,245.669998168945
126,338.130004882812
75,278.199981689453
23,394.889984130859
214,173.298004150391
76,278.489990234375
127,345.419982910156
77,265.540008544922
24,323
128,343.052001953125
129,378.880004882812
130,426.929992675781
131,387.169982910156
53,270.009979248047
25,299.239990234375
132,358.433013916016
26,320.660003662109
78,341.759979248047
79,313.25
80,326.139984130859
54,358.940002441406
81,217.470001220703
240,203.822006225586
27,305.989990234375
28,373.850006103516
29,220.529998779297
30,386.220001220703
133,360.692016601562
82,223.779998779297
215,281.734008789062
216,240.905014038086
217,269.037017822266
134,281.598022460938
31,369.489990234375
83,377.869995117188
84,261.089019775391
135,367.558013916016
85,400.600006103516
55,404.639984130859
136,283.287017822266
86,240.610000610352
56,418.699981689453
137,328.902008056641
32,267.739990234375
87,347.929992675781
